userName,content,score,at,thumbsUpCount
Anuja rauthan,nice ♥️🤟🎉,5,2025-06-26 10:53:17,0
Arabinda Sahu,"Live Tracking is one of the best services. Free date change is also excellent. Buttttt No customer care number. Their IVR number revolving round and round. Normally no need of assistance,all good through very good application/website. But if any issues come then you never reach them,as they live in the Himalayas ...Oh Very bad situations I faced. No customer support team. So avoid booking from redBus. You may try some other apps.",1,2025-06-26 10:50:57,10
SAIRAM S,good,5,2025-06-26 10:35:19,0
Govind Samy,good,5,2025-06-26 10:34:10,0
A.B Asrafi,"help team is not there, please remove ivr",2,2025-06-26 10:30:11,0
Amit Bikram Ganguly,excellent service,5,2025-06-26 10:25:25,0
Deepak Sihotiya,gud,5,2025-06-26 10:25:11,0
NITHIN MADDI,i had booked the bus from the red bus but the bus broke down in the middle We were literally on the road for about 6 hours. Nobody has helped us even redbus customer care also not helped us,1,2025-06-26 10:24:04,0
vinay kumar,Nice,5,2025-06-26 10:17:35,0
dev kumar,"Extremely Disappointing Service – Avoid Ram Dalal Bus Horrible experience! The driver & bus marshal flat-out ignored loud, repeated stop requests. A passenger just 5 mins away was left behind. Later, they resold the seat for cash — pure scam! All they cared about was speeding & stuffing the bus. No safety, no humanity. Staff was rude, greedy, and shamelessly unprofessional. Ram Dalal Bus Service is a fraud on wheels. Avoid at all costs — total waste of time & money!",1,2025-06-26 10:17:06,0
دھیمان ساحل,nice,5,2025-06-26 10:15:59,0
Madhu Salava,super 😍,5,2025-06-26 10:08:03,0
kismat ansari,good,5,2025-06-26 09:55:18,0
lovely Vijay,nice,5,2025-06-26 09:47:59,0
Arshad Sheikh,awesome,5,2025-06-26 09:37:24,0
Vivek yadav,not good offers,3,2025-06-26 09:35:08,0
Angel Services,one of the bad and worst service provider and not taking any Responsibilities while booking canceled in any situation.,1,2025-06-26 09:31:00,0
Monica Kalaimani,"Very worst experience, I was following with them for refund for past 1month, they're telling that they'll refund my money but no response from them, I've reopened the ticket so many times still they're saying that they'll refund and closed the ticket, stills I didn't received my refund, these all happened because of app glitch, when bus operator cancelled the bus ,redbus didn't cancelled and refunded, worst app, and worst experience, I trusted them as I was using this app for more than 5years,",1,2025-06-26 09:22:20,0
Bipin Chambariya,Achha ap he bus booking ke liye,5,2025-06-26 09:15:32,0
upendar reddy,user friendly,5,2025-06-26 09:08:49,0
Viji Kumar,ok,5,2025-06-26 09:00:04,0
Jyoti,its good to book a good seat in bus,5,2025-06-26 08:59:53,0
Muthumani Athi,good,4,2025-06-26 08:58:50,0
tamal chandra,"hi,We are stuck in bus in last 2 hours,And bas is not ready to move,We are at agra Express highway and still Delhi 6 hours far from here and no one ready to resolve the issue.",1,2025-06-26 08:47:11,0
bunty wadhwani,good,5,2025-06-26 08:45:33,0
Suraj Yadav,I'm using redBus over few year and I also travel a safe and secure journey with red bus love you red bus,5,2025-06-26 08:29:18,0
SUBHADIP DEY,👍,5,2025-06-26 08:22:14,0
shivali singh,good travel,5,2025-06-26 08:14:50,0
Arpit Katiyar,best experience,5,2025-06-26 08:12:55,0
Prashant Lad,I travel jalana and Aurangabad only by MB link the bus is very good and comfortable. the driver drives the bus very carefully and a speed limit of 80/85 so passengers can sleep up to destination very safely. but when i goes to jalana the tyre problem creats 2.5 hour late.. even my sister goes to jalana last week same problem of tyre comes. so request to you that all work of your company is very best. please do proper works and a needful action for tyres thanks mb link,5,2025-06-26 08:11:42,0
U U,always use full,5,2025-06-26 08:08:14,0
nurulhuda azman,best,5,2025-06-26 08:01:31,0
Raju Hanhaga,Very good,5,2025-06-26 07:56:28,0
महाकाल तंत्र ज्योतिष Mahakal tantra jyotish,good,5,2025-06-26 07:48:34,0
Ravindra Koli,very nice,5,2025-06-26 07:47:19,0
Prasenjit Dutta,excellent,5,2025-06-26 07:46:33,0
Raju Sahani,mast,5,2025-06-26 07:30:37,0
sathiya m,Redbus all time.. my travel booking best one,5,2025-06-26 07:30:32,0
manoj kumar,all very good,5,2025-06-26 07:26:12,0
Ram Krishna,some bus operators do fraud and don't give their numbers and location of pickup and redbus do nothing to resolve.,1,2025-06-26 07:15:55,0
farifan,power,5,2025-06-26 06:40:40,0
Mohammad Radzi,ok nice,5,2025-06-26 05:39:57,0
Devilal Kumawat,bhut acha rha mera suffer,5,2025-06-26 04:41:21,0
nisha Sharma,"it's too good 👍🏻👍🏻👍🏻 we like it , we are also use this aap next trip",5,2025-06-26 02:37:39,0
Ali Shaikh,#Redbus ghatiya service deti he redbus ke dwara safar karne se pehle bus check Krle aaj ke baad is ghatiya redbus se koi bus book nhi karuga #Redbus poor service bad experience itna pesa kamana he redbus walo ko to thodi bheek mang lo me deduga,1,2025-06-26 02:00:47,0
Nasir Hussain,satisfied 👍,4,2025-06-26 01:05:19,0
Mukunda,good,5,2025-06-26 01:03:38,0
Imran Raza,very good,5,2025-06-26 00:58:40,0
Chandu,often I am getting dirty seat for nice 4.2 rating.,1,2025-06-26 00:00:07,0
Akash Patel,firstly thank to redbus becoz redbus provide the all types budget friendly good service thanks flix bus service and staff so much so sweet and honest person,5,2025-06-25 23:57:45,0
Jamal Khan,"Great experience and for hassle free booking, would definitely recommend RedBus",5,2025-06-25 23:54:54,0
abdul saleem,good,5,2025-06-25 23:45:20,0
Appala Naidu,nice,5,2025-06-25 23:43:06,0
ADSRINIVASA RAO,ok,4,2025-06-25 23:41:19,0
jishnu vijayaraj,"Booked seat as per our preference paying extra money and the bus operator changed to diff seat without checking with us. The seat is exactly above the rear axle and creates trouble to the passenger. No solution we received from bus operator or from redbus customer care. From customer care we got 200Rs like some begging money. And conveyed to us that ""you can give feedback to operator once the trip is over"". Is this right way to deal with customer? Without providing any proper solution",1,2025-06-25 23:24:24,0
sonu soni,Nice,5,2025-06-25 23:20:39,0
AJITH KUMAR.P,super,4,2025-06-25 23:10:08,0
Umashankar Shukla,good,5,2025-06-25 22:52:10,0
K Lal,good,5,2025-06-25 22:49:50,0
Pitambar Verma,very nice all policy works properly on time bus and safe seat,5,2025-06-25 22:48:04,0
Ãjãyä Kumar Badatya,Awesome serving,4,2025-06-25 22:43:27,0
Nk mourya,good,3,2025-06-25 22:39:40,0
Jothi Mani,good,5,2025-06-25 22:37:11,0
Pragati Shrivastav,it was a nice experience..good facilities and a pleasuring journey,5,2025-06-25 22:35:42,0
Anbu Thangavelu,சூப்பர்,5,2025-06-25 22:12:57,0
Jatav Gamer,good,5,2025-06-25 22:07:39,0
rahul singh,they they have super nonsense cancellation policy. I have booked tickets on wrong date & within 15 min they are changing 95% amount.,1,2025-06-25 22:06:53,0
Karamveer Verma,good,5,2025-06-25 22:04:33,0
अंकुश नन्नवरे,okk,5,2025-06-25 21:57:31,0
PRABHANSHU SINGH,Very bad service.....and customer service is also very bad ...they listen to your problem but don't give any proper solution to customers......even if you file any complaint against any bus operators bad service and their staff's bad behaviour...they just file complain. no tell us your issue is resolved......but what type action they take they could not informed you and in reality they don't take any action even a customer paid very high rate for good service.,1,2025-06-25 21:53:33,0
Munjahari Gaikwad,laxmy holidays travels great 👍 travels Mumbai to Nagpur,5,2025-06-25 21:49:46,0
Abhishek Gurav,very nice,5,2025-06-25 21:46:29,0
ravish rai,excellent,5,2025-06-25 21:39:25,0
pushpendra markam,👍 Red bus,4,2025-06-25 21:36:20,0
Rakesh Pathak,very good arrangements,5,2025-06-25 21:12:47,0
Sanju_ Vlogs,best,5,2025-06-25 21:08:41,0
AB Keerthi,nice,5,2025-06-25 20:53:41,0
Dhiraj Wankhede,good,5,2025-06-25 20:46:52,0
Pintu kumar,it's make my trip giod,5,2025-06-25 20:42:18,0
Avadhut Turambekar,good,5,2025-06-25 20:31:04,0
PRASANTA MOHAPATRA,very nice,4,2025-06-25 20:27:55,0
Syed Iliaz,good,5,2025-06-25 20:19:34,0
Viram Odedra,Good,5,2025-06-25 20:16:42,0
Sumalatha Avireni,happy 😊,5,2025-06-25 20:11:16,0
Shikha Kaushal,good,5,2025-06-25 20:08:48,0
Kumar Vaibhav Kulkarni,good,5,2025-06-25 19:52:16,0
Kumpavat Sj,Nice,5,2025-06-25 19:51:20,0
AMAN AGARWAL,All.good,4,2025-06-25 19:48:05,0
kalpajit talukdar,The platform is praised for being easy to use and convenient for booking tickets. customers appreciate the timely updates on bus schedules and ticket confirmations.,5,2025-06-25 19:47:46,0
