id,userName,score,content,reviewDate,thumbsUpCount,sentiment
1,Nihal Kumara,2,Pofile not saver,2025-06-13 17:35:31,0,Neutral
2,John Adebare,5,this application is good,2025-06-13 17:35:27,0,Positive
3,Anil Mehta,5,good,2025-06-13 17:34:44,0,Positive
4,Mohamed Alham,5,not good,2025-06-13 17:33:42,0,Negative
5,Tamika Amos,5,love this app,2025-06-13 17:32:19,0,Positive
6,Khuzema Barwahwala,5,Good,2025-06-13 17:32:13,0,Positive
7,Nanak Chand,4,exellent,2025-06-13 17:31:40,0,Neutral
8,Ayesha Abbasi,5,only one use it,2025-06-13 17:31:39,0,Neutral
9,Rohit Sidagam,1,Cannot verify my email as whatsapp isnt sending any email to my id with 6 digit code.,2025-06-13 17:31:10,0,Neutral
10,Ashish Sharma,5,Mast h bhai,2025-06-13 17:31:04,0,Neutral
11,Chandroudayam Malayalathan,5,good app very nice work,2025-06-13 17:30:42,0,Positive
12,LIHLE MAHLANGENI,2,it sometimes changes date without consent and takes time to default to the right time and date,2025-06-13 17:30:34,0,Positive
13,Mr Alamin,5,good,2025-06-13 17:30:01,0,Positive
14,Chetan Mali,5,😄😄,2025-06-13 17:29:42,0,Neutral
15,Nawaz Khan,5,great app for communication,2025-06-13 17:28:50,0,Positive
16,Mphow Entle,5,It's good,2025-06-13 17:28:14,0,Positive
17,Nazilaa,2,kenapa wa di hp gw belum ada fitur musik di status wa nya woi 😠😠🤬🤬,2025-06-13 17:27:34,0,Neutral
18,Asanda Zulu,1,i can't get a verification code,2025-06-13 17:27:27,0,Neutral
19,Dedi Suhardian,5,Bagus,2025-06-13 17:27:04,0,Neutral
20,AD Sharma,5,excellent,2025-06-13 17:26:57,0,Positive
21,Nicholas Jenkins,5,brilliant communication app,2025-06-13 17:25:04,0,Positive
22,Okechukwu David,5,very good,2025-06-13 17:24:54,0,Positive
23,Muhh Afdall,5,Good WhatsApp,2025-06-13 17:24:16,0,Positive
24,Monsurat Abdullateef,5,love dis,2025-06-13 17:23:47,0,Positive
25,Jamiila Clqaadir,5,this is the best Whatsapp,2025-06-13 17:22:54,0,Positive
26,Gopi Jangid04,1,good jangid,2025-06-13 17:22:44,0,Positive
27,Tahir saood,5,good what sapp,2025-06-13 17:22:32,0,Positive
28,Deep Mondal,5,Bas,2025-06-13 17:21:28,0,Neutral
29,Nusrat Yasmeen,3,ok- ok,2025-06-13 17:18:09,0,Positive
30,Oliva Pacomio,4,good,2025-06-13 17:17:32,0,Positive
31,Loyiso Nqobile,1,it help me to connect with others,2025-06-13 17:17:10,0,Neutral
32,Saru Waiba,1,no good,2025-06-13 17:16:01,0,Negative
33,Naveed Ramzan,5,Very nice and easy to find a cure,2025-06-13 17:15:38,0,Positive
34,Zly Doank,4,bubble chat nya gabisa di ubah.,2025-06-13 17:15:24,1,Neutral
35,Reni R,5,nice,2025-06-13 17:15:16,0,Positive
36,Krishan Bajiya,5,very useful app,2025-06-13 17:15:08,0,Positive
37,Sankik Suman,1,I am not able to open this app directly from screen... it's only opening via playstore's OPEN button. Complete waste of time.,2025-06-13 17:14:31,0,Neutral
38,Singer_kanu,5,nice,2025-06-13 17:14:25,0,Positive
39,Vishalamma Vishalamma,5,wats up secure,2025-06-13 17:14:20,0,Positive
40,Abhay Inamdar,3,very nice,2025-06-13 17:14:01,0,Positive
41,Akhtar Jatt,5,Acha App,2025-06-13 17:13:20,0,Neutral
42,Mian Umer,5,😋,2025-06-13 17:12:17,0,Neutral
43,Shamas Waseemgill,5,Good,2025-06-13 17:11:58,0,Positive
44,Javed Awan,5,good,2025-06-13 17:11:30,0,Positive
45,Dr. Grace Glynn Goedhart,1,I lost whatsapp off my phone and for some reason NONE of my messages were resaved on my phone,2025-06-13 17:11:13,0,Neutral
46,JC STYLE,3,Good,2025-06-13 17:10:58,0,Positive
47,M.shyamala devi,5,it is best app for videocall,2025-06-13 17:09:03,0,Positive
48,Forever developers26sales,1,I am not able to use my new activated no due to spam.,2025-06-13 17:08:28,0,Neutral
49,grasy vartanian,5,👍👍👍👍,2025-06-13 17:06:37,0,Neutral
50,Suma Pc,5,good,2025-06-13 17:06:13,0,Positive
51,Alexandre CIOT,1,I do not want nor need meta ai.,2025-06-13 17:06:01,0,Neutral
52,Daniel Stanton,5,An excellent communication APP,2025-06-13 17:05:43,0,Positive
53,MANISHA ARYA,5,Great,2025-06-13 17:05:25,0,Positive
54,Jacob Fayemi,5,But i want to change this account,2025-06-13 17:05:18,0,Neutral
55,DWAYNE Aden,5,I love this app.. 🔒,2025-06-13 17:04:52,0,Positive
56,Md Jubayer Molla,1,not install,2025-06-13 17:04:43,0,Neutral
57,Francisca Uzochi,5,I went to recover my WhatsApp,2025-06-13 17:03:38,0,Neutral
58,Christiana Biola,2,Why is my account always entering spam,2025-06-13 17:03:27,0,Neutral
59,Ahmad Muhammed Alaasa,5,I love this app,2025-06-13 17:03:19,0,Positive
60,Ravi Jee,5,I love whatsapp,2025-06-13 17:03:01,0,Positive
61,Hesei Kipgen,5,very useful for me,2025-06-13 17:02:18,0,Positive
62,Hassan Zayno,1,"The app is great.But the new update has created some problems.So when the new update came out the contacts list got kind of scrambled.So now when someone calls me on WhatsApp, when I want to check who called me from my watch the name no longer shows up.Only the number.Please fix this. Thanks in advance, Best Regards,Hassan",2025-06-13 17:01:44,0,Positive
63,Md Jahidul Islam,5,Excellent,2025-06-13 17:01:42,0,Positive
64,Gopal Banjara,5,mast app he yaar,2025-06-13 17:01:21,0,Neutral
65,Kajal Rajput,1,worst,2025-06-13 17:00:32,0,Negative
66,Ronald Amanor,5,perfect,2025-06-13 16:59:20,0,Positive
67,Almond Paul Dlamini,2,good but not happy that the app does not download and save,2025-06-13 16:59:14,0,Positive
68,Shaheena Parveen,5,very nice,2025-06-13 16:58:26,0,Positive
69,Md Asir,4,mast hai yaar bhai,2025-06-13 16:58:16,0,Neutral
70,Patrick Ahadji,5,I will always be there,2025-06-13 16:57:32,0,Neutral
71,Pezo Mwale,1,I love WhatsApp,2025-06-13 16:57:31,0,Positive
72,Innocent Dimpho,5,it is easy to communicate with people regardless of the distance,2025-06-13 16:57:05,0,Positive
73,Suraj Tiwari,5,my whatsapp messenger not login,2025-06-13 16:56:36,0,Neutral
74,Ashwin Alocious,5,😀,2025-06-13 16:55:37,0,Neutral
75,Pankaj Kumar Jaiswal,1,force stop is not working any more...please çhek this,2025-06-13 16:54:24,0,Neutral
76,John basil,5,amazing 😍😍🤩,2025-06-13 16:53:34,0,Positive
77,Modisanyane Marekwa,5,all in one,2025-06-13 16:51:45,0,Neutral
78,Shahidmagloo Shahid,5,😍,2025-06-13 16:51:21,0,Neutral
79,Raziya,5,watsapp open,2025-06-13 16:50:33,0,Neutral
80,Ranjeeta Kumari,5,good,2025-06-13 16:50:31,0,Positive
81,korede adeniji,1,Reliable,2025-06-13 16:50:06,0,Neutral
82,Kate Lydia,5,It's kinda of cool but why do I update this everytime,2025-06-13 16:50:06,0,Positive
83,Diam Monai,5,download app,2025-06-13 16:49:43,0,Neutral
84,Daniela Katombela,5,Easy and Direct,2025-06-13 16:48:48,0,Positive
85,Dahiru Sani,5,very nice chat,2025-06-13 16:48:16,0,Positive
86,SHIKHA SHARMA,1,I have not done anything against the term and conditions of whatsapp but still after every 2 3 days my whatsapp gets banned😑I hate this thing like why the hell is this happening.I have to send a request to whatsapp then it works otherwise it doesn't. I have been using this app since so long but it's been 6-7 months😣please whatsapp team solve this issue 🙏I have a lot of work through whatsapp and it's all stuck because of this all,2025-06-13 16:47:49,1,Negative
87,Muhammad Rohan abbass,1,everyday whtsup was banned plz solve this problm,2025-06-13 16:47:43,0,Negative
